ns,bytes
458843752,15751188
459152811,15751188
469434262,15751188
463145840,15751188
456678691,15751188
459043789,15751188
455160670,15751188
450129023,15751188
458703303,15751188
454150933,15751188
464671962,15751188
453231643,15751188
470945357,15751188
463215455,15751188
460715275,15751188
490441001,15751188
453491024,15751188
482390531,15751188
461803739,15751188
454549854,15751188
486636935,15751188
472127802,15751188
477238078,15751188
452163853,15751188
465035950,15751188
461694915,15751188
472609466,15751188
464222847,15751188
460598249,15751188
471729006,15751188
477863652,15751188
473193184,15751188
463180562,15751188
492594387,15751188
457774673,15751188
585897636,19407074
578075686,19407074
548793211,19407074
584546988,19407074
543149701,19407074
551829252,19407074
540631919,19407074
554929066,19407074
595726380,19407074
598128265,19407074
541571914,19407074
550502389,19407074
547591975,19407074
561782304,19407074
583682272,19407074
555932652,19407074
584703574,19407074
590340448,19407074
582661801,19407074
580902994,19407074
540696750,19407074
590022296,19407074
570165273,19407074
590844633,19407074
566868633,19407074
559458675,19407074
581267301,19407074
569418981,19407074
578872344,19407074
575506244,19407074
579491272,19407074
582910496,19407074
573095572,19407074
593774667,19407074
551408606,19407074
573492931,19407074
551876121,19407074
567613048,19407074
587864442,19407074
555889598,19407074
571612765,19407074
574037659,19407074
594855300,19407074
569688540,19407074
534496870,19407074
574653916,19407074
616103773,19407074
574899284,19407074
559863877,19407074
582962657,19407074
565794765,19407074
568592576,19407074
533855174,19407074
560126297,19407074
608918318,19407074
562865084,19407074
588988517,19407074
556438736,19407074
588338940,19407074
581943921,19407074
592883627,19407074
532001091,19407074
554122331,19407074
602034072,19407074
595220901,19407074
590313627,19407074
597903039,19407074
580014519,19407074
549620912,19407074
563398208,19407074
575080957,19407074
563826200,19407074
578335759,19407074
598365464,19407074
567164267,19407074
553336471,19407074
573360239,19407074
564842186,19407074
562929910,19407074
548502044,19407074
596059046,19407074
589210564,19407074
557477739,19407074
572385416,19407074
571723363,19407074
576290712,19407074
589770814,19407074
559484831,19407074
595365245,19407074
543764382,19407074
575673453,19407074
547639127,19407074
577944035,19407074
549600040,19407074
576187166,19407074
621600904,19407074
